회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
덱스터,206560,"영화, 비디오물, 방송프로그램 제작 및 배급업","시각효과(Visual Effect, VFX)",2015-12-22,12월,김용화,http://www.dexterstudios.com,서울특별시
아진산업,013310,자동차 부품 제조업,자동차 차체 부품,2015-12-22,12월,서중호,http://www.wamc.co.kr,경상북도
강스템바이오텍,217730,자연과학 및 공학 연구개발업,줄기세포치료제,2015-12-21,12월,강경선,http://www.kangstem.com,서울특별시
씨트리,047920,자연과학 및 공학 연구개발업,"씨트리시메티딘정, 로자틴정",2015-12-21,12월,"김완주,이한구(각자대표)",http://www.c-tri.co.kr,경기도
동부제4호스팩,230490,금융지원 서비스업,기업인수합병,2015-12-18,12월,방경환,,서울특별시
메가엠디,133750,일반 교습 학원,"의학, 치의학, 법학 전문대학원, 약학대학 입학시험 대비 강의",2015-12-18,12월,임수아,http://www.megamd.co.kr,서울특별시
보광산업,225530,토사석 광업,"콘크리트용 부순골재, 아스콘, 레미콘",2015-12-17,12월,박병윤,http://www.bokwangindustry.co.kr,대구광역시
파크시스템스,140860,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",연구용 및 산업용 원자현미경,2015-12-17,12월,박상일,http://www.parkafm.co.kr,경기도
뉴트리바이오텍,222040,기타 식품 제조업,건강기능식품,2015-12-16,12월,권진혁,http://www.nutribiotech.co.kr,서울특별시
예스티,122640,특수 목적용 기계 제조업,반도체 및 디스플레이 제조 장비,2015-12-16,12월,장동복,http://www.yest.co.kr,경기도
하나금융7호SPAC,230240,금융지원 서비스업,기업인수합병,2015-12-16,12월,홍충희,,서울특별시
멕아이씨에스,058110,의료용 기기 제조업,인공호흡기,2015-12-14,12월,김종철,http://www.mek-ics.com,경기도
엔에스,217820,특수 목적용 기계 제조업,2차전지 자동화 설비,2015-12-07,12월,이세용,http://www.cns2.co.kr,충청북도
미래테크놀로지,213090,소프트웨어 개발 및 공급업,OTP,2015-12-01,12월,정균태,http://www.mirae-tech.co.kr,서울특별시
하이즈항공,221840,"항공기,우주선 및 부품 제조업",B787 날개구조물 등,2015-11-25,12월,하상헌,http://www.hizeaero.com,경상남도
리드,197210,특수 목적용 기계 제조업,"LCD 장비(In-Line System, TCU, TRU)",2015-11-20,12월,박동규,http://www.leed1.com,경기도
엠지메드,180400,기타 과학기술 서비스업,BAC DNA CHIP,2015-11-20,12월,이병화,http://www.mgmed.co.kr,서울특별시
매직마이크로,127160,기타 전기장비 제조업,"LED 리드프레임, LED PKG",2015-11-19,12월,양경철,http://www.magicmicro.co.kr,부산광역시
케이디켐,221980,기타 화학제품 제조업,PVC 안정제,2015-11-19,12월,민남규,http://www.kdchem.kr,충청북도
골든브릿지제4호스팩,227950,금융지원 서비스업,기업인수 및 합병,2015-11-18,12월,박재형,,서울특별시
네오오토,212560,자동차 부품 제조업,"피니언 기어, 디프 어셈블리, 대형기어",2015-11-18,12월,김홍직,http://www.neooto.kr,서울특별시
케어젠,214370,기초 의약물질 및 생물학적 제제 제조업,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",2015-11-17,12월,정용지,http://www.caregen.co.kr,경기도
아이진,185490,자연과학 및 공학 연구개발업,"당뇨성망막병증 치료제, 욕창치료제, 자궁경부암 예방 백신 등",2015-11-16,12월,유원일,http://www.eyegene.co.kr,서울특별시
나무가,190510,전자부품 제조업,"스마트폰 카메라모듈, 노트북 카메라모듈",2015-11-12,12월,서정화,http://www.namuga.co.kr,경기도
유앤아이,056090,의료용 기기 제조업,정형외과용 신체보정용 의료기기,2015-11-12,12월,구자교,http://www.youic.com,경기도
에이치엠씨3호스팩,226340,금융지원 서비스업,기업인수합병,2015-11-05,12월,백종권,,서울특별시
더블유게임즈,192080,소프트웨어 개발 및 공급업,온라인·모바일 게임(더블유카지노),2015-11-04,12월,김가람,http://www.doubleugames.com,서울특별시
연우,115960,플라스틱제품 제조업,화장품 용기,2015-11-02,12월,기중현,http://www.yonwookorea.com,인천광역시
키움스팩4호,226850,금융지원 서비스업,기업인수합병,2015-10-29,12월,이원경,,서울특별시
에이티젠,182400,기초 의약물질 및 생물학적 제제 제조업,"연구용 시약, NK Vue KIT",2015-10-23,12월,박상우,http://www.nkvue.com or www.atgenglobal.com,경기도
엑시콘,092870,특수 목적용 기계 제조업,반도체 검사장비,2015-10-22,12월,박상준,http://www.exicon.co.kr,경기도
현대드림4호스팩,226360,금융지원 서비스업,기업인수합병,2015-10-22,12월,이종현,,서울특별시
이베스트스팩3호,225440,기타 금융업,,2015-10-19,12월,이정훈,,서울특별시
에치디프로,214870,통신 및 방송 장비 제조업,CCTV 카메라,2015-10-13,12월,정진호,http://www.hdprocctv.com,경기도
IBKS제3호스팩,225430,금융지원 서비스업,금융지원 서비스,2015-10-08,12월,구상모,,서울특별시
동부스팩3호,226440,금융지원 서비스업,기업인수합병,2015-10-06,12월,황선국,,서울특별시
신영스팩2호,225590,금융지원 서비스업,기업인수합병,2015-10-05,12월,박근용,,서울특별시
엔에이치스팩9호,225570,금융지원 서비스업,기업인수합병,2015-09-25,12월,임동현,,서울특별시
제너셈,217190,특수 목적용 기계 제조업,반도체 후공정 장비,2015-09-25,12월,한복우,http://www.genesem.com,인천광역시
타이거일렉,219130,전자부품 제조업,인쇄회로기판 제조업,2015-09-25,12월,이경섭,http://www.tigerelec.com,인천광역시
인포마크,175140,통신 및 방송 장비 제조업,"웨어러블 디바이스, 모바일 라우터",2015-09-23,12월,최혁,http://www.infomark.co.kr,경기도
유진스팩3호,221200,금융지원 서비스업,기업인수합병,2015-09-09,12월,남을진,,서울특별시
쿠첸,225650,가정용 기기 제조업,전기밥솥,2015-09-04,12월,"이대희, 이재성",http://www.cuchen.com,서울특별시
한국3호스팩,222080,금융지원 서비스업,기업인수합병,2015-09-02,12월,윤강훈,,서울특별시
해마로푸드서비스,220630,음·식료품 및 담배 도매업,"햄버거, 치킨, 식음료유통",2015-08-28,12월,정현식,http://www.haimarrow.co.kr,서울특별시
교보5호스팩,223040,금융지원 서비스업,기업인수합병,2015-08-27,12월,주성훈,,서울특별시
에이텍티앤,224110,통신 및 방송 장비 제조업,교통카드단말기,2015-08-25,12월,신승영,http://www.atectn.co.kr,경기도
웹스,196700,합성고무 및 플라스틱 물질 제조업,"기능성 컴파운드, 건축외장자재",2015-08-24,12월,이재춘,http://www.waps.co.kr,부산광역시
현대드림3호스팩,221950,금융지원 서비스업,기업인수목적,2015-08-21,12월,심재인,,서울특별시
파인텍,131760,전자부품 제조업,휴대기기용 BLU(Back Light Unit),2015-08-17,12월,강원일,,경기도
닉스테크,222810,소프트웨어 개발 및 공급업,보안솔루션 개발 외,2015-08-13,12월,박동훈,http://www.nicstech.com,서울특별시
심텍,222800,전자부품 제조업,반도체용 인쇄회로기판,2015-08-07,12월,최시돈,http://www.simmtech.co.kr,충청북도
흥국에프엔비,189980,비알콜음료 및 얼음 제조업,"과일음료(에이드베이스, 스무디, 착즙쥬스 등)",2015-08-07,12월,"박철범, 오길영",http://www.hyungkuk.com,충청북도
쎄노텍,222420,기타 비금속 광물제품 제조업,세라믹 비드,2015-08-06,12월,강종봉,http://www.cenotec.com,경상남도
칩스앤미디어,094360,소프트웨어 개발 및 공급업,비디오 IP,2015-08-05,12월,김상현,http://www.chipsnmedia.com,서울특별시
케이비제8호스팩,222390,금융지원 서비스업,해당사항 없음,2015-08-05,12월,김정효,,서울특별시
아시아경제,127710,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",광고 및 콘텐츠,2015-07-31,12월,이세정,http://www.asiae.co.kr,서울특별시
아이쓰리시스템,214430,전자부품 제조업,"적외선 영상센서, 엑스레이 영상센서",2015-07-30,12월,정한,http://www.i3system.com,대전광역시
로지시스,067730,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","전산장비 판매 및 유지보수, VAN기기 대행관리",2015-07-29,12월,이규현,http://www.logisys.co.kr,서울특별시
엘아이지이에스스팩,220260,금융지원 서비스업,기업인수 및 합병,2015-07-27,12월,강성빈,,서울특별시
파마리서치프로덕트,214450,가정용품 도매업,재생의약품,2015-07-24,12월,"정상수, 안원준(각자대표이사)",http://pr-products.co.kr,강원도
SK2호스팩,219550,금융지원 서비스업,기업인수합병,2015-07-22,12월,변영호,,서울특별시
펩트론,087010,기초 의약물질 및 생물학적 제제 제조업,약효지속성 의약품 및 펩타이드 소재,2015-07-22,12월,최호일,http://www.peptron.co.kr,대전광역시
한화에이스스팩2호,219860,금융지원 서비스업,기업인수합병,2015-07-20,12월,이상만,http://hanwha-ace-spac2.co.kr,서울특별시
