No.,Code,Name,Industry Code,Industry,No. of Listed Shares(shr.),Capital Stock(KRW),ParValue,Currency
671,079660,SJ HP,031007,Manufacture of Other Food Products,"7,160,000","35,800,000,000","5,000",KRW
672,003960,SJDR,031002,Processing and Preserving of Fishes and Edible Seaweeds,"5,960,575","29,802,875,000","5,000",KRW
673,123700,SJM,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"15,604,898","7,802,449,000",500,KRW
674,025530,SJMH,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","14,934,008","7,467,004,000",500,KRW
675,034730,SK,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","70,360,297","15,385,286,400",200,KRW
676,006120,SK CHEM,032005,Manufacture of Man-Made Fibers,"24,303,255","135,601,900,000","5,000",KRW
677,210980,SK D&amp;D,126801,Real Estate Activities with Own or Leased Property,"10,770,000","10,770,000,000","1,000",KRW
678,018670,SK GAS,074607,Other Specialized Wholesale,"8,881,471","44,407,355,000","5,000",KRW
679,096770,SK Innovation,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","92,465,564","468,569,950,000","5,000",KRW
680,001510,SK SECU,116601,Activities Auxiliary to Financial Service Activities,"320,117,171","162,014,842,500",500,KRW
681,017670,SK TELECOM,106102,Telecommunications,"80,745,711","44,639,473,000",500,KRW
682,000660,SK hynix,032601,Manufacture of Semiconductor,"728,002,365","3,657,652,050,000","5,000",KRW
683,011790,SKC,032004,Manufacture of Other Chemical Products,"37,534,555","187,672,775,000","5,000",KRW
684,001740,"SKNetworksCo.,Ltd",074607,Other Specialized Wholesale,"248,187,647","620,753,237,500","2,500",KRW
685,005850,SL CORP.,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"33,865,090","16,932,545,000",500,KRW
686,004430,SONGWON IND,032001,Manufacture of Basic Chemicals,"24,000,000","12,000,000,000",500,KRW
687,017550,SOOSAN HVY IND,032902,Manufacture of Special-Purpose Machinery,"53,985,163","26,992,581,500",500,KRW
688,005610,SPC SAMLIP,031007,Manufacture of Other Food Products,"8,629,009","43,145,045,000","5,000",KRW
689,003410,SSANGYONG CEMENT,032303,"Manufacture of Cement, Lime and Plaster and Its Products","87,478,869","439,732,055,000","5,000",KRW
690,003620,SSANGYONG MTR,033001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,"137,220,096","686,100,480,000","5,000",KRW
691,047400,SSYMaterials,032302,Manufacture of Ceramic Ware,"42,000,000","21,000,000,000",500,KRW
692,011810,STX,074608,Wholesale of Non-Specialized Goods,"47,334,308","118,335,770,000","2,500",KRW
693,077970,STX Engine,032901,Manufacture of General Purpose Machinery,"23,008,904","57,522,260,000","2,500",KRW
694,071970,STX Heavy Industries,032901,Manufacture of General Purpose Machinery,"23,792,327","59,480,817,500","2,500",KRW
695,008490,SUHEUNG,032004,Manufacture of Other Chemical Products,"11,569,113","6,084,556,500",500,KRW
696,002820,SUNCHANG,031602,Manufacture of Wood Products,"12,607,989","12,607,989,000","1,000",KRW
697,003080,SUNGBO CHEM,032004,Manufacture of Other Chemical Products,"20,020,000","10,010,000,000",500,KRW
698,005980,SUNGJEE CONST,064102,Heavy Construction,"97,481,640","48,740,820,000",500,KRW
699,014910,SUNGMOON ELEC,032602,Manufacture of Electronic Components,"16,554,309","8,577,154,500",500,KRW
700,004980,SUNGSHIN CEMENT,032303,"Manufacture of Cement, Lime and Plaster and Its Products","24,008,482","128,508,590,000","5,000",KRW
701,136490,SUNJIN,031008,Manufacture of Livestock Feeds and Prepared Animal Feeds,"8,140,000","4,070,000,000",500,KRW
702,004770,SUNNY ELEC,032601,Manufacture of Semiconductor,"29,976,480","15,938,240,000",500,KRW
703,145990,SYC,031007,Manufacture of Other Food Products,"10,289,803","53,299,365,000","5,000",KRW
704,000070,Samyang Holdings,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","8,564,271","44,341,645,000","5,000",KRW
705,003060,Schnell Biopharmaceuticals,032102,Manufacture of Medicaments,"80,883,447","40,441,723,500",500,KRW
706,019440,SeAH SPECIAL STEEL,032401,Manufacture of Basic Iron and Steel,"8,570,000","42,850,000,000","5,000",KRW
707,034300,Shinsegae E&amp;C,064101,Building Construction,"4,000,000","20,000,000,000","5,000",KRW
708,003240,TAEKWANG IND,032005,Manufacture of Man-Made Fibers,"1,113,400","5,567,000,000","5,000",KRW
709,006890,TAEKYUNG CHEMICAL,032001,Manufacture of Basic Chemicals,"11,600,000","5,800,000,000",500,KRW
710,015890,TAEKYUNG IND,032001,Manufacture of Basic Chemicals,"29,228,750","14,614,375,000",500,KRW
711,001420,TAEWONMULSAN,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"7,600,000","3,800,000,000",500,KRW
712,004100,TAEYANG MTL,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"36,700,000","20,000,000,000",500,KRW
713,009410,TAEYOUNG E&amp;C,064102,Heavy Construction,"76,400,000","39,478,740,000",500,KRW
714,001440,TAIHAN ELEC WIRE,032803,"Manufacture of Insulated Wires and Cables, Including Insulated Code Sets","856,473,009","428,236,504,500",500,KRW
715,001070,TAIHAN TEXTILE,031302,Weaving of Textiles and Manufacture of Textile Products,"1,060,000","5,300,000,000","5,000",KRW
716,084870,TBH GLOBAL,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","20,856,819","10,428,409,500",500,KRW
717,002710,TCC STEEL,032401,Manufacture of Basic Iron and Steel,"22,342,500","22,342,500,000","1,000",KRW
718,078000,TELCOWARE,106301,"Data Processing, Hosting, Portals and Other Internet Information Media Service Activities","9,702,706","5,026,353,000",500,KRW
719,019180,THN CORP,032809,Manufacture of Other Electrical Equipment,"18,000,000","9,000,000,000",500,KRW
720,001520,TONGYANG,032303,"Manufacture of Cement, Lime and Plaster and Its Products","238,684,063","119,850,042,500",500,KRW
721,082640,TONGYANG LIFE,116501,Insurance,"107,572,390","537,861,950,000","5,000",KRW
722,002900,TONGYANGMOOLSAN,032902,Manufacture of Special-Purpose Machinery,"65,388,900","32,694,450,000",500,KRW
723,214420,TONYMOLY,032004,Manufacture of Other Chemical Products,"17,640,000","3,528,000,000",200,KRW
724,140890,TRUS Y 7 REIT,126801,Real Estate Activities with Own or Leased Property,"9,686,000","48,430,000,000","5,000",KRW
725,001790,TS,031006,"Manufacture of Grain Mill Products, Starches and Starch Products","8,840,002","24,044,835,000","2,500",KRW
726,030790,TYNETWORKS,106201,"Computer programming, System Integration and Management Services","52,734,346","26,367,173,000",500,KRW
